loop,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,mae_error,mae_error_index
rf_loop,rf_train_r2,rf_test_r2,rf_train_rmse,rf_test_rmse,rf_train_mae,rf_test_mae,rf_mae_error,rf_mae_error_index
9.0,0.780455471273622,0.7655993977777629,0.39938924698096084,0.4088493677235666,0.3397064155406691,0.3455523663032705,0.0002526662370642141,1.0
18.0,0.7795500259659636,0.7709859163787318,0.3991638528989452,0.4086281307156412,0.3391089073817761,0.34661690274585377,0.0008118702055190385,2.0
14.0,0.780516945039438,0.7610017163549043,0.4001810661019122,0.40952109402683073,0.3397046589196328,0.34684242433059315,0.0010373917902584129,3.0
19.0,0.777491378284717,0.7777406886841436,0.3988680199191983,0.41092947200910246,0.3385560275748532,0.3476909127446036,0.001885880204268886,4.0
20.0,0.7801198398491267,0.7664816240560844,0.3989383591204632,0.4108798109562732,0.33890763848901034,0.34786622736407247,0.002061194823737733,5.0
17.0,0.77906043792859,0.7698348471977154,0.3986002658285284,0.41323117576611623,0.33865580181367355,0.34801740405889536,0.0022123715185606296,6.0
23.0,0.7811432210385025,0.7632253636311475,0.3982785207940968,0.41307514945416707,0.3386895826447371,0.34849101136534805,0.002685978825013313,7.0
22.0,0.7790327113132934,0.7703579237175517,0.3997184019885181,0.40884048422920993,0.338862398292632,0.3488124656116223,0.0030074330712875907,8.0
11.0,0.7801583383436212,0.7647338833590458,0.3988007445503037,0.41339266264692104,0.338745576661663,0.3494807225935015,0.003675690053166758,9.0
4.0,0.7799061104527598,0.7676084825696652,0.39887315211240143,0.4109136429964007,0.3386040369298496,0.3496639597954919,0.003858927255157185,10.0
8.0,0.7814497471931885,0.7604804151866789,0.3988594858924486,0.4117208477560071,0.33899301429984274,0.34972122856707344,0.003916196026738705,11.0
6.0,0.7784566599515441,0.7724697364152265,0.40175929296512664,0.4007525483583998,0.3410642757213679,0.34177780008423536,0.004027232456099372,12.0
7.0,0.7793930498401086,0.7693725822034583,0.4010089388891748,0.4030350003906258,0.3415305125673851,0.34107304427627455,0.004731988264060183,13.0
