y_train,y_train_pred
6.64644270462392,6.611627114533116
6.07046273507144,6.116293117559843
6.42677857128308,6.507453774301888
6.9554880038475,7.046654304941848
7.12038239778308,7.120458739473969
6.81108180999466,6.850058308720799
6.44914812951434,6.491522566241537
6.52776175881249,6.342557186697485
6.99544814844994,7.127994655661263
6.87319193821321,6.914542891117202
7.20746749985128,6.956242305999803
6.30532861344131,6.550606592022854
6.65667630013836,6.341540976774235
6.68615722286137,6.78767120042391
6.66193035215376,6.7309232607552705
5.87839898654444,5.903956831071577
6.65901405611961,6.699018125139327
6.42342888433017,6.6084084331588375
6.56378555362228,6.650244897593888
6.58288792107387,6.666039202822725
6.83384058149647,6.595132397492415
6.0413419951659,5.856367947105804
6.01086403183228,5.954959040245507
5.81115369976078,6.007805438034319
6.67183597046594,6.794740492979026
6.37052756185444,6.224952229816376
6.66451261997686,6.697782602717433
6.35368509230899,6.4179656215052265
6.18866284789793,6.250346955823824
5.86072199514416,5.959979279598082
6.65689876977799,6.704351442905358
6.66370239038745,6.558418741659915
6.12345655285703,6.148913229721638
6.25971272567519,5.9789194433994854
6.24081401521723,6.307751050310566
6.65012725194285,6.77522584254802
6.10296857521509,6.174927650194144
5.92230192920899,5.399298570970126
6.63247379571863,6.547405075101887
6.90295389713852,6.907221418955368
6.83788280883985,6.848410945309519
5.77540041151463,5.83694697240673
6.68197958371547,6.582369026027772
6.50899055095003,6.312770658202107
6.38064842179218,6.3076380024948495
6.01794296028671,6.05431353526364
6.92850312179948,6.931557513006618
7.05724557383953,6.712954057505494
6.67143059578084,6.558078437845092
6.10756307222002,6.14259654267334
7.16257938147231,7.124739101650897
6.78529560305207,6.870316931448537
6.63879030835651,6.767845913467562
6.71329227469085,6.8902547430382075
6.41704485915499,6.306679248028212
5.80674818925483,5.7402704190651495
6.06917745575935,6.07193593114277
6.81252303387411,6.782568806934359
5.75756384340416,5.930236875389591
6.05906263960861,6.206910275389413
6.34389270259789,6.315361529571868
6.1649470934611,5.9087100820001925
6.76787300479739,6.770384507292301
6.32811240187733,6.398317656312765
6.49623630791686,6.558418741663553
6.68326135248504,6.767853897959862
6.39915554190426,6.490432402211235
6.79267572016715,6.702976763576425
6.70149290781387,6.596217109595608
6.90797450962486,6.824548505574734
6.93253796168009,6.582658272940984
6.55863475787714,6.669828441291992
6.37259578820913,6.331924902370355
6.19170964458796,6.109156021364578
6.32976779229362,6.495903097798299
6.72054665447883,6.9137263683414805
6.49768228938222,6.20132807294271
6.40000002996723,6.517175882758574
7.24709303693122,7.0478187300861865
6.88070199643071,7.0524196681769755
7.07715785144272,6.67640320286227
5.8417801381822,5.903900667860507
6.65999135044774,6.492272816557142
6.60677926219728,6.387286386871205
6.57252221670505,6.670669440587398
6.72037509574703,6.64037085917766
6.61759333643631,6.581731964328577
5.99650035964681,6.0363869815467925
5.83823015544011,5.8829900041522425
6.74006236944808,6.719920089820329
6.91293057728984,6.978573824041286
6.56668178728772,6.675110324052747
6.94985936423515,6.898189855286882
6.66193082836909,6.637755678512457
6.24946688861655,6.240255958908159
6.46297944851059,6.22983859889734
6.31338595693408,6.284251041108172
6.40958530848232,6.456260722965789
6.76149843501895,6.821142627707667
6.81239245662648,6.921874963163413
7.79713334967611,6.98542439228458
6.48489900474562,6.639725717854953
6.66623622343336,6.442031826079409
5.97671315988562,5.971626754263747
6.1383500004178,6.259802361541341
6.43955277258579,6.666100140597786
6.4427778987993,6.5999713495604
5.90432610086505,5.7518852330660994
6.37584718388001,6.558078437845092
6.75775603168053,6.588521018882824
5.96902789531586,6.144772776147301
6.34038429692479,6.285125451212929
6.41163443362321,6.2814092426310655
7.2187149711312,7.097266371391692
6.78248959701964,6.864958612157233
5.85430360583478,5.937784636959117
6.40116593508915,6.358864172495936
6.31992866552982,6.445027379503353
6.69806266711191,6.74831647464759
6.33353178754991,6.503329017019491
