feature,importance
C47,3.9937831662368774e-05
E9,0.297905618099806
E5,0.11608682205678385
E43,0.09527648256371439
E36,0.057853964205920136
E19,0.052346829464495155
E18,0.04347165712357504
E28,0.025186061042331398
C5,0.01818346659141173
E16,0.015196722189048018
C42,0.014315896163030735
E20,0.013035621213675139
E14,0.012329730416424085
E8,0.01186976151326757
E42,0.011565817717562262
E2,0.011513347949989906
E55,0.009028377425316106
E4,0.00887024857786106
E24,0.00882344295720639
E31,0.008221309575212797
E54,0.008004892611035281
C18,0.007102961670814005
C19,0.006783833934343694
E32,0.006742722443528364
C54,0.006247668505045854
C36,0.006072302189102809
E15,0.005976198832190768
E38,0.004915678417307914
E11,0.004857933410132135
C16,0.0043992808769478895
C24,0.004339045268435713
E10,0.004333188856440339
C9,0.00409423668312599
E13,0.0038390511670502708
E50,0.0037498912563929915
C10,0.003667705444738501
E33,0.003526608674757646
C20,0.0034074980924465917
E22,0.0032057188664946523
C50,0.0031651660107092014
C29,0.003132106316698162
C28,0.002943411091464116
E34,0.002921592189446938
C31,0.002916435635221665
C55,0.0026876287082015296
C8,0.0024571702871372058
E37,0.002455050938085902
C14,0.0024519046306425325
E7,0.0023525959012844536
E40,0.0021638026186078137
C43,0.001980338407761469
C37,0.0019520671084224648
E51,0.001823278853236043
C15,0.0017273430720802176
C7,0.0016300338991368831
C11,0.0014587890235318972
E35,0.0014150651670089256
C13,0.0014042693958243276
C22,0.001385149398958004
E29,0.0013435767114374137
C51,0.0013338147732175009
E47,0.0013304926957024474
C2,0.001213284024992779
E21,0.0012064862273502043
C49,0.0011409612053963352
C17,0.001095735153576238
E53,0.001076354137058956
C21,0.00102917772083056
E12,0.000968221562471697
E17,0.0009458740375966473
C23,0.0008160721986909199
E23,0.0007823971834682373
C35,0.0007810707172131501
C40,0.0007419166170498688
E49,0.0007333031122187015
C53,0.0007111922032326407
E52,0.0006640713598902091
C33,0.0006486623293256883
E6,0.0005732130129891257
E1,0.0005558763295522327
E27,0.0005527874939443059
C12,0.0005057099100400758
E41,0.0005028009944765944
E45,0.0004727953616949661
C32,0.00046435054810790757
C1,0.000462135722048703
E48,0.0004569195950062813
C30,0.00043441164015318155
C41,0.00035354923137645243
E26,0.0003481309313072046
E25,0.00034731135860049565
E44,0.0003446629882056583
C39,0.0003329985669546906
C27,0.0003122595689516386
E3,0.00031221712245859415
E39,0.00029088377121633263
C4,0.000274104174611401
C48,0.0002726288838503308
E30,0.0002675993892119686
C26,0.00025984721008479234
C25,0.00024911773901607434
C38,0.0002370091316771275
C6,0.00021917008654137954
E46,0.00020645598262379147
C44,0.00020274132150751298
C45,0.00019674594253719116
C46,0.00019221566607091072
C34,0.00017997295269268378
C52,0.00014515294075511135
C3,0.00010082992892985031
