y_train,y_train_pred
-5.880140857142857,-5.923158522328862
-4.148153785714286,-4.0880763637364765
-9.467685000000001,-8.625864245671277
-6.158131071428572,-6.29517749236583
-7.040621714285714,-7.022774174514169
-8.345420714285714,-7.977574328988263
-7.792685,-7.672709203687291
-8.485949999999999,-7.863887223676988
-7.127024285714286,-7.529444650076865
-3.725072,-3.894425449019689
-7.364295714285714,-7.158487163845256
-6.881271071428571,-6.800592189921759
-5.487875571428572,-5.667315801125349
-7.254135714285715,-7.332354579645806
-8.79742,-8.563010412932382
-5.956978357142857,-6.316772844768247
-6.880922857142857,-7.52086046509043
-6.667605285714286,-6.487965508768514
-6.3314165,-6.36504743799224
-6.967581928571429,-6.85100737204165
-8.162814285714285,-7.788144251816324
-7.601860714285714,-7.999985921433947
-5.6127635,-5.7355738069642594
-8.480349285714286,-8.279427310428686
-10.51783428571429,-10.236078276632101
-7.516401428571428,-7.763256292656048
-7.498638571428572,-7.271098931084229
-7.950632857142857,-7.649806540846308
-7.725016428571428,-7.639449820165022
-8.334469285714286,-8.382459942554904
-6.305499142857143,-6.418117075009844
-7.905692142857142,-7.7815511326045534
-6.395727642857143,-6.7469218402049815
-4.776409642857144,-5.088597805052806
-3.927900142857143,-4.118073395037145
-6.918845714285714,-7.082950072704838
-6.212805714285714,-6.467386328441454
-9.074915714285714,-8.303261482364762
-6.436057785714286,-6.648076352750995
-5.513115857142857,-5.571276369835175
-6.409857428571429,-6.323519912479682
-6.841439428571428,-7.200158680925091
-8.331347857142857,-8.402015157816923
-6.012479928571429,-6.225081296786349
-5.329526857142858,-5.273694718429464
-9.053707857142857,-8.27641644336119
-7.130937142857142,-7.418472123111222
-7.763872142857143,-7.426167343815254
-5.911471499999999,-6.108258065784196
-5.919590142857143,-6.351651086884719
-7.73346,-7.582554951636472
-6.819877928571429,-6.6811715282490285
-6.2931385,-6.334502738583255
-6.626788285714285,-6.727039233146147
-7.294702857142857,-7.25889227475267
-6.374162785714286,-6.527736863612212
-6.973813428571428,-6.857527385349314
-8.514355714285715,-8.257543401502774
-8.237459285714285,-7.67547897835433
-7.140949714285715,-7.187859557772405
-5.358506,-5.433600218045399
-8.144347857142858,-8.107661747939003
-7.007296714285714,-7.0868043823915325
-5.039341428571428,-5.3070261351982415
-8.946972142857144,-8.525594138787776
-5.090509857142857,-5.651224483177741
-7.625967857142856,-7.9334242287646894
-8.17660357142857,-8.207375775054793
-9.059581428571429,-8.860454457151627
-6.042629785714285,-6.391969931817506
