loop,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,mae_error,mae_error_index
rbf_loop,rbf_train_r2,rbf_test_r2,rbf_train_rmse,rbf_test_rmse,rbf_train_mae,rbf_test_mae,rbf_mae_error,rbf_mae_error_index
13.0,0.18343257453051587,0.09627380649443917,0.3501551186671562,0.3591174191601574,0.2865658194336965,0.29180923633035466,0.000551815745977291,1.0
8.0,0.16564122002015647,0.16218575639609134,0.35061536580342906,0.358632101062234,0.2866841302610319,0.29194576301078,0.0006883424264026439,2.0
17.0,0.15634839639732545,0.1968350543374845,0.35072984264997886,0.3585019363373351,0.2865231231650331,0.29228010925266074,0.001022688668283367,3.0
10.0,0.15960660251757885,0.18480166983464452,0.35186806849818336,0.3542340225286371,0.28716895771464734,0.29002686280937395,0.0012305577750034158,4.0
15.0,0.16672498733839292,0.15763833016330997,0.35097478349416755,0.35778313508416243,0.2862377232798362,0.2925252137762032,0.00126779319182585,5.0
7.0,0.169811426460733,0.15121010127088164,0.35151318449456914,0.35437004199215494,0.28627111879985884,0.29292288959208035,0.00166546900770298,6.0
9.0,0.16809078514572562,0.1654621443134373,0.3504414634269467,0.3570736640473499,0.287106752735391,0.2892892543217684,0.0019681662626089835,7.0
6.0,0.16877888676026132,0.15521470797885417,0.3507787662294511,0.3572483011560709,0.28777981780365364,0.28787804282822416,0.0033793777561532123,8.0
22.0,0.16216722142678652,0.17577951713289408,0.3508721166534337,0.35793799100095514,0.2856478458157066,0.29516820195899507,0.0039107813746177,9.0
19.0,0.17047724051795332,0.15683898230519355,0.3521988041011548,0.3498600710756557,0.2874600977935316,0.2867016504821646,0.004555770102212753,10.0
11.0,0.17597207784816904,0.12321569744252003,0.3487428961751293,0.3658691600423322,0.2857880197837976,0.2960500047868863,0.004792584202508943,11.0
21.0,0.17291686706509823,0.13592164998792144,0.3510307454223376,0.3568454023120748,0.2879920916927372,0.2853585789552948,0.005898841629082552,12.0
12.0,0.1665570029940403,0.156670319456654,0.3543763666959207,0.3443498641877263,0.2884135065088098,0.28533689855937144,0.005920522025005925,13.0
18.0,0.1577306499252913,0.18951711171808405,0.3497664285425506,0.36248350663649553,0.2854461239558387,0.29722042956706796,0.0059630089826905874,14.0
1.0,0.16529993951774413,0.1643983871474024,0.3492223367878852,0.3643547603546594,0.2854477451056971,0.2972609208515399,0.006003500267162509,15.0
5.0,0.16498956969787348,0.1682202671605092,0.35328434795776126,0.34781149011124857,0.28826064146211217,0.2850845315321949,0.006172889052182495,16.0
20.0,0.1682967542200141,0.15555017175393338,0.3493307650931393,0.3634062306744782,0.2849836548542481,0.297649056330059,0.006391635745681634,17.0
24.0,0.17741737339008445,0.12546053423489179,0.3491822530079214,0.3622040350962256,0.28505272531011355,0.29776736316196,0.006509942577582639,18.0
2.0,0.16248259005933874,0.1817265799098341,0.3538241183360595,0.3445048367959919,0.2878941859796269,0.2846348410418794,0.006622579542497953,19.0
4.0,0.1651370861295608,0.1700303900972031,0.3490672464903054,0.36380879296086205,0.28489480399759376,0.2983478057232179,0.007090385138840527,20.0
23.0,0.16340898692850925,0.17058959627398373,0.34909508984327964,0.3647110848819202,0.2849962172243044,0.29894117068129544,0.007683750096918074,21.0
14.0,0.1611305867252456,0.17669203014919332,0.3544245473489514,0.3446441610508364,0.2887480886999899,0.28314305108043375,0.00811436950394362,22.0
3.0,0.17594413247027207,0.12066200908242997,0.3488198305471325,0.36639992404366967,0.2844936300461205,0.3015027471853435,0.01024532660096611,23.0
16.0,0.15970221825986985,0.1887372915563551,0.35647413644925624,0.3343736428266235,0.29146031573355463,0.27133347020590814,0.019923950378469224,24.0
mean_rbf,0.1670027156811059,0.15956800442492272,0.3511161926131708,0.35627189897582734,0.28672154738153877,0.29125742058437737,NAN,NAN
std_rbf,0.006490420408568357,0.024048083891610422,0.0020177881558427284,0.008047092169964565,0.001576597570394852,0.006663840623124066,NAN,NAN
rf_loop,rf_train_r2,rf_test_r2,rf_train_rmse,rf_test_rmse,rf_train_mae,rf_test_mae,rf_mae_error,rf_mae_error_index
8.0,0.1674361516150693,0.15267711413790463,0.35023802847413793,0.3606614788656956,0.28573779413298717,0.29230886782279614,0.0007625080939904771,1.0
17.0,0.15780134410703628,0.19122332094134653,0.35042769676706875,0.35975218721583635,0.28561226702609077,0.2927893641688072,0.0012430044400015272,2.0
15.0,0.1670387558734474,0.15529464426798545,0.3509086977416995,0.35828051576403924,0.28547044163207486,0.29279970270588335,0.0012533429770776872,3.0
9.0,0.16860238980271203,0.15487041627162756,0.3503336902142168,0.35933246066848085,0.28599324642444884,0.290196466881997,0.0013498928468086424,4.0
13.0,0.186393339609902,0.08576165508604294,0.3495197342018913,0.3612000090576368,0.285638649539099,0.29302945994208035,0.0014831002132746907,5.0
10.0,0.1601499561505504,0.18347019165127254,0.35175430052532913,0.35452319291936907,0.28606018917376985,0.2899111122313696,0.0016352474974360431,6.0
7.0,0.16846584618385363,0.14546872393587162,0.3517979376949919,0.3555665354700204,0.2858143614553282,0.2936119207588424,0.0020655610300367444,7.0
19.0,0.16964709747981022,0.14672502198304516,0.3523749911135073,0.35195215237862953,0.2868868116738206,0.2880342240344054,0.003512135694400287,8.0
11.0,0.17562305834840375,0.12378894685726949,0.3488167439065673,0.36574953622265066,0.2846791846192937,0.2954489092205156,0.003902549491709928,9.0
6.0,0.16731102121034203,0.14877730862010097,0.35108835229701746,0.3586068626177163,0.2873127820101458,0.2871186198298232,0.004427739898982486,10.0
22.0,0.16338844420988063,0.16277852516689517,0.3506163082807854,0.36074994572696906,0.2850025058465111,0.2961058608108062,0.004559501082000539,11.0
5.0,0.16621171790991007,0.1519352237994246,0.3530257141007172,0.351199808708222,0.28758987681114184,0.28661022759294946,0.004936132135856197,12.0
21.0,0.17438462415027522,0.12280332603662392,0.35071913427379303,0.35954398849956193,0.2873830295854899,0.28587742953420153,0.005668930194604127,13.0
20.0,0.16898588224300048,0.15294395929294302,0.3491860118365918,0.3639665861715875,0.28430768372830867,0.2972164490175591,0.005670089288753455,14.0
24.0,0.17662117096910035,0.11290948584308047,0.34935120412774845,0.3647938814121883,0.28446788867847544,0.29810244618643456,0.006556086457628896,15.0
2.0,0.16165551485527718,0.17729708172286096,0.35399878153674313,0.3454360194301364,0.2871885340732021,0.28483670884278073,0.0067096508860249315,16.0
1.0,0.16629214668058223,0.15775565226643073,0.34901471494085107,0.3658001386958654,0.2845954608574763,0.29840658590996905,0.006860226181163387,17.0
18.0,0.1584195424429754,0.17673170309540598,0.34962336221568013,0.3653314169430089,0.28472310020667235,0.29848617076719725,0.006939811038391586,18.0
12.0,0.16767264055435394,0.1566420213388029,0.3541391051316203,0.3443556415079847,0.2877807946116942,0.2843777380023739,0.007168621726431734,19.0
4.0,0.16530908568686586,0.1604415839435711,0.3490312869911249,0.36590433593345,0.2842128107958004,0.2988114283050188,0.007265068576213118,20.0
23.0,0.16535215093178923,0.166774846601628,0.3486894296323819,0.36554883987369025,0.28381777749376824,0.29954897788025897,0.008002618151453311,21.0
3.0,0.17487644261060453,0.12101862998978652,0.3490457320019291,0.3663256186426231,0.2842197458608713,0.30038363424456177,0.00883727451575611,22.0
14.0,0.16251812740434324,0.1787385798233062,0.35413130623447303,0.3442155424239774,0.28804056873258616,0.28199506269487673,0.00955129703392893,23.0
16.0,0.16030899739162607,0.18375216325426968,0.3563454081974563,0.3353994157384204,0.29071275829893795,0.27110526610582875,0.020441093622976914,24.0
mean_rf,0.16751939368423796,0.15294083858031235,0.35100740301826344,0.3576748379536567,0.2859686776361664,0.29154635972880566,NAN,NAN
std_rf,0.006415650056580888,0.024637213697508393,0.0020192310460443196,0.008218011342592318,0.0015972937980483373,0.006800341136062116,NAN,NAN
