feature,importance
C32,9.453467989327235e-05
C18,0.5106653581843182
C42,0.13169612942404232
C14,0.11472875597828487
C19,0.0254044750545749
C8,0.01975134697584587
C45,0.015226756936209462
C54,0.0143121623431792
C46,0.0139717216755053
C6,0.013411340853320776
C44,0.01088479359225263
C38,0.009341491352267679
C50,0.009336385099355062
C31,0.00839412431029467
C24,0.00829016694605028
C23,0.006753651729684748
C26,0.006489687269629575
C9,0.006120700365277311
C34,0.005614756836760454
C25,0.004592907072191292
C11,0.004446374693618439
C53,0.004059641537302583
C35,0.004044267266263172
C28,0.004004549429602424
C12,0.003590169654834653
C15,0.003470848017490875
C36,0.0029428731289820754
C30,0.002896208168719291
C40,0.002763353103411642
C13,0.0027463065398613184
C3,0.0025381831737559734
C55,0.002353553873017137
C33,0.0023508882542389144
C37,0.0019861656979957396
C41,0.0017918919329252088
C21,0.0016864186178816686
C10,0.0016618152879944177
C20,0.001611244605543055
C5,0.001550074815096158
C1,0.001492220711259244
C7,0.0014339045619221823
C47,0.0014058215444105746
C51,0.0012480054809464263
C2,0.0009851186573938831
C17,0.000964784619386739
C48,0.0009535587448980698
C22,0.0009415112671071048
C49,0.0007963144413080687
C39,0.0007209646527767634
C27,0.0006581906426314065
C52,0.0004592955899018591
C29,0.000250391382446882
C4,0.00011384322613816344
E9,0.0
E8,0.0
E7,0.0
E6,0.0
E55,0.0
E54,0.0
E53,0.0
E52,0.0
E51,0.0
E50,0.0
E5,0.0
E49,0.0
E48,0.0
E47,0.0
E46,0.0
E45,0.0
E44,0.0
E43,0.0
E42,0.0
E41,0.0
E40,0.0
E4,0.0
E39,0.0
E38,0.0
E37,0.0
E36,0.0
E35,0.0
E34,0.0
E33,0.0
E32,0.0
E31,0.0
E30,0.0
E3,0.0
E29,0.0
E28,0.0
E27,0.0
E26,0.0
E25,0.0
E24,0.0
E23,0.0
E22,0.0
E21,0.0
E20,0.0
E2,0.0
E19,0.0
E18,0.0
E17,0.0
E16,0.0
E15,0.0
E14,0.0
E13,0.0
E12,0.0
E11,0.0
E10,0.0
E1,0.0
C43,0.0
C16,0.0
