feature,importance
AC30,9.876058461145061e-05
AC37,9.262529512874427e-05
AC20,9.038752863822556e-05
BC31,8.353658172289442e-05
BE32,7.92108843393329e-05
BC25,7.882034177453753e-05
BC43,7.854860604515855e-06
BE39,7.627922437465071e-05
BC47,7.521596995928627e-05
BC40,6.968772706688607e-05
BC42,6.921935365745252e-06
AC2,6.497574280489579e-05
BE38,6.474155870207851e-05
AC22,6.450947159789003e-05
BC26,6.244432545350882e-05
BC21,6.10930033456369e-05
AC43,6.056418040251452e-05
BC10,6.010597330383151e-05
BC15,5.347556398405048e-05
BC51,5.0061045694489995e-05
BC1,4.328270404213477e-05
BC5,3.9599570044185e-05
BC41,3.5751567948009644e-05
BC37,3.281445805207178e-05
AC47,3.129673270981967e-05
BC22,2.9187947200533845e-05
BC52,2.8360473418887578e-05
BC24,2.773651390868454e-05
BC14,2.6016529502755752e-05
BC2,2.414904498600109e-05
BC8,2.220621010144674e-05
BC32,2.128986182078605e-05
BC30,1.9710891164783375e-05
BC39,1.6524126997745863e-05
BC3,1.527905462062064e-05
BC35,1.4362139107870404e-05
BC54,1.3361196478714201e-05
BC6,1.1403063281103362e-05
BC23,0.5425699635232705
BE55,0.09871479352739188
AE12,0.055342669015907654
AC23,0.041024313708837336
BE40,0.018618244660708185
AE48,0.016425263498325987
AC46,0.0158169153075555
AE50,0.013576639233740815
AC45,0.013509332749323604
BE6,0.009729336989505363
AE9,0.00889276299959452
BE48,0.00763620948742173
AE53,0.0074801512298194525
AC48,0.006515761976667424
AE18,0.006078092934439938
BE23,0.005840170369262736
AE17,0.004268953325682964
BC53,0.00407973748730375
AE55,0.003974645867063055
BC45,0.0037771077932531247
AC50,0.0034187257884568654
AE45,0.0030303968295664336
BC46,0.002998466387608876
AE21,0.002836857031562324
AC4,0.0023228963909676715
BE11,0.0022414907901847623
AC40,0.0020516408639888882
BE7,0.00204618912072419
AE49,0.002013185304680723
BE47,0.002004439978807439
BE19,0.0019270935794983434
BC11,0.0019257047911213805
AE6,0.0018736997060429374
AE46,0.0018527706613217128
BE53,0.0017833976640034993
AC3,0.0017639546171775127
BE1,0.0017290520795059739
AE1,0.00169420019422366
AE33,0.0016744391760705568
AC17,0.0016661539790957967
AE14,0.0016477959722637112
AE2,0.0014162953973319932
BE18,0.001382338367663499
BE50,0.0013382686567119631
AE19,0.0012762065058834985
AE47,0.0012655872341377685
BE17,0.001258306724229752
AC18,0.001233220820596045
BE12,0.0011967144740225003
BE9,0.001164348560104563
AE28,0.0010813860890320234
AC44,0.0010592749683983056
AC1,0.0010508702617291882
AC55,0.001046508525035603
AE29,0.0010402856932670073
AE34,0.0010381132499668931
AE31,0.001019954649897476
BE49,0.0010169245546994682
AE42,0.000995758514596681
AE10,0.0009887102436110877
AE23,0.000985646153675272
BE2,0.0009566372006610408
AE43,0.000948624981453199
AE38,0.0009088627473487295
AE44,0.0009047142762666604
BE45,0.0008901047528092433
AC49,0.0008658350407439819
AE11,0.0007722989971512208
AE7,0.0007644485351061837
BE46,0.0007556802127405762
AE27,0.0007418560214126129
AE52,0.0006984219297515232
AE4,0.0006955762445276099
AE15,0.0006933249679609392
AE54,0.0006920871384523735
BC48,0.0006814196501908108
AE41,0.0006612083822262735
BE51,0.0006585708416768602
AC11,0.000652638277933498
BE41,0.000646254530768639
AE3,0.0006447416085102289
AC9,0.0006434063168156223
AE13,0.00061590484414444
AE36,0.0006153914398222666
BE10,0.000608752951111537
BE54,0.000604439137291198
BE24,0.0006042162493693627
BE42,0.0005993842553526479
BC55,0.0005811034601181802
AE51,0.0005595787679943565
BE29,0.0005408668149156087
AE16,0.0005273553272475319
BE21,0.0005195986584768163
BC29,0.0005169475611484753
AE39,0.0005158141513789106
BE43,0.0004974502122739346
