y_train,y_train_pred
-4.832855285714286,-4.884863198864279
-7.544466428571428,-7.106072731534111
-5.110561142857143,-5.24281934846695
-8.545992857142858,-8.679013194518374
-8.325796428571428,-8.377120697929199
-10.36193642857143,-10.50248480533625
-8.910545,-8.010376627931889
-5.584681357142857,-5.464546597378527
-8.893165,-8.880985944545015
-7.998923571428572,-7.396892134804629
-5.017429714285714,-5.129465780351124
-3.860616928571428,-4.929932440276529
-8.53555357142857,-8.523648854599484
-5.337425785714286,-5.388070382007724
-6.886656714285714,-7.036282804968861
-6.012781428571428,-6.146935258299463
-6.987454571428572,-5.632808925893839
-8.266850714285715,-8.296414535994385
-6.874742142857143,-6.946913486513635
-7.265653571428571,-7.981774402710043
-8.307036428571427,-8.301064892448748
-8.039925714285713,-7.8749796894602735
-8.231157857142858,-8.358037592805799
-9.653113571428571,-9.797321473937158
-7.492908571428572,-6.565879461710351
-5.802455928571428,-5.913506023332642
-6.161200428571428,-6.645383725919457
-8.060932142857142,-7.951794723474022
-5.562212785714286,-5.749805771047447
-4.847528285714286,-4.714650196432357
-5.039341428571428,-4.813614982688561
-7.209535714285714,-7.077183022761259
-8.934162142857144,-8.046403683634848
-5.926345785714285,-6.226142944434541
-7.726646428571429,-8.302454557384548
-7.083042928571428,-7.003829028675026
-5.4784215,-6.539709970190556
-5.818137428571428,-5.950604950748582
-9.097992142857143,-8.912333456800722
-4.676280142857143,-4.8034943055080515
-6.9860365,-7.1183750267558406
-5.919590142857143,-5.961945885900972
-5.468500857142857,-5.458460902433357
-9.11507642857143,-9.23680960290366
-6.227026071428571,-6.304679045971936
-7.680332857142857,-7.451658883552993
-7.263545714285714,-6.941689224916699
-7.894631428571429,-7.762735195826933
-8.399223571428571,-8.266538067777018
-6.787876142857143,-6.730274235264288
-6.710359714285715,-6.608232499748992
-8.901896428571428,-9.155361887681265
-5.441508499999999,-5.5897089580509185
-6.573834642857143,-6.441359876675078
-7.177562857142857,-7.045270670843335
-8.18153,-8.049084824301103
-6.760739142857142,-6.628077983842074
-7.810927857142858,-7.301171974658557
-7.921869285714286,-7.629400265661529
-7.558555714285714,-7.633105294474346
-6.447619214285714,-5.746002470785838
-5.320228999999999,-6.520836483052475
-7.658972857142857,-7.605954312026681
-5.092980785714286,-5.635152789189219
-6.471311642857144,-6.339491880753625
-5.603092642857143,-5.49032643677546
-7.664932857142857,-6.546981263412617
-8.367716428571429,-8.664960882858763
-8.895292142857143,-9.029551153722847
-4.333164,-4.465836698217371
-5.320052785714286,-5.2378254511550875
-4.069461071428571,-3.9369924568982224
-5.272519285714286,-5.635863681280737
-4.173050571428571,-4.292645627128222
-5.434644,-5.068528104082871
-6.702988071428571,-6.570993099547563
-8.976516428571427,-8.843793947798614
-8.102470714285714,-8.499820195404622
-9.055640714285714,-8.924643097128664
-5.540933714285714,-5.7374955388838185
-3.908317428571429,-4.430766830925078
-5.006603071428572,-5.465067695020791
-7.871280714285715,-7.856810768421637
-7.197353571428572,-7.3132982106922935
-6.176567071428572,-6.298913563050148
-7.907978571428571,-8.02205165906352
-8.281185714285714,-8.049910797741033
-8.518935714285714,-8.881931723111874
-7.929156428571429,-8.037238055454194
-7.916243571428572,-7.802922743065123
-5.042714428571428,-5.974227726755741
-3.568007714285714,-4.4460419974175505
-6.652664000000001,-7.315596473811153
-10.38727428571429,-10.467486083217322
-6.881119,-7.014541689328011
-8.50725,-8.300450980078521
-9.197119285714285,-7.016844956786967
-7.302139285714285,-6.429294215686495
-6.170258785714286,-5.599509997124896
-8.761697857142858,-8.369182516399034
-7.980859285714286,-7.377730693298899
