y_train,y_train_pred
-7.337244285714285,-7.489131317674864
-9.400730714285714,-9.406465509003754
-6.482569928571428,-6.891992208636398
-7.739667142857143,-7.710554083384015
-9.361680000000002,-9.359399210628972
-8.245912857142857,-8.140992190278702
-9.863148571428571,-9.6890518390687
-5.520235428571429,-5.503337337756725
-6.676618285714286,-6.759610385642701
-7.511743571428572,-7.470679339681968
-8.397743571428572,-8.297609962091576
-6.937581071428572,-7.0003932247755225
-6.061070571428572,-6.3390332934557545
-7.706630714285715,-7.744085676842554
-4.334903357142857,-4.473428243100998
-7.979212142857143,-7.761550334948299
-7.335763571428571,-7.345811490020647
-7.925507857142857,-7.827086384142492
-8.659111428571428,-8.798910209470817
-7.916915714285715,-7.789455817159423
-5.066489071428571,-4.9750888892067575
-7.236729285714286,-7.241450482853084
-6.415570714285714,-6.382043488545343
-6.654442214285715,-6.897185963168789
-6.359771428571428,-6.217183509788765
-4.193892571428571,-4.227944984601541
-4.501827857142858,-4.805396907706706
-7.658972857142857,-7.624308645994441
-5.164012214285714,-5.262180734284807
-7.587957857142857,-7.426809469170178
-3.827100071428571,-4.010567011762355
-6.382243785714286,-6.68697067076523
-4.9238245,-5.0957219406918846
-6.542059428571428,-6.687930803758011
-10.21419,-10.3387628976454
-7.788297857142857,-7.687386757845116
-8.771775714285715,-8.255555350441195
-7.527645714285714,-7.596201246718375
-5.809858428571429,-5.678965526644645
-7.020785428571429,-6.916038700286352
-7.642329285714285,-7.6239140115377415
-8.049595714285713,-7.6951503174691505
-5.198039142857143,-5.287993129367365
-6.3846815,-6.4849425864412975
-4.059839428571428,-4.242811705599769
-8.116982857142856,-8.17517576296633
-6.721569071428571,-6.519855713779178
-7.372396428571428,-7.116361397235996
-7.162961428571428,-7.144580503760307
-5.527404857142857,-5.61235042349868
-8.245147142857144,-8.219907921917152
-10.36934785714286,-10.39815901381135
-9.48556642857143,-9.342565140896033
-7.871280714285715,-8.13496198617647
-6.9616925,-6.860711868460712
-5.987908714285714,-6.038858017625742
-8.47552642857143,-8.522052617154554
-7.066657071428572,-7.109612294546459
-5.897212214285714,-5.7788501864708435
-7.183083571428571,-7.025146793589899
-6.4318725,-6.460108486828474
-7.096054571428572,-7.257382160507087
-7.257762857142858,-7.213300735434143
-8.265235,-8.177271993936898
-8.805586428571429,-8.446004728932083
-7.71758,-7.7228104159976345
-7.442216428571428,-7.320184603018925
-7.601860714285714,-7.690459810231005
-5.65366,-5.626845228424384
-7.811852142857143,-7.647546622109507
-5.425179285714286,-5.42760842902272
-8.007759285714286,-8.029785380808248
-7.085713857142857,-6.980154695848103
-5.583266357142857,-5.531296446976396
-6.506534714285714,-6.386824895064426
-8.298547857142857,-8.079385678448128
-6.4912825,-6.770474037239026
-6.123396071428572,-6.110662860845213
-3.349741785714286,-3.3346575275226757
-4.8811595,-4.874640729230869
-7.96235,-7.812104017595945
-8.168395714285714,-8.187510866668152
-3.704182785714285,-3.8763740648537253
-5.6068045,-5.795277666434824
-9.018620714285714,-9.011392385334757
-7.481345714285714,-7.130855926084195
-6.433096214285714,-6.323872702086637
-7.708742857142857,-7.634340660050564
-6.908675285714286,-6.834986581011558
-6.564843857142857,-6.936521494707678
-9.946387857142856,-9.727218831180481
-7.787485714285714,-7.782090704815483
-6.172657357142858,-6.3768393614327845
-7.467642142857143,-7.244738330465689
-6.193453642857143,-6.129173535238132
-9.140552142857143,-9.083638439137076
-7.0695445,-7.27636539377478
-6.401733785714286,-6.525611000970928
-4.920257142857143,-5.161544148307698
-7.189537142857143,-7.192242241209281
-7.952922857142857,-8.02169261017659
-7.17056,-7.138180952956775
-7.88217,-7.842699802727266
-4.963697285714285,-5.108455214670647
-7.635247857142857,-7.22504633579097
-9.310055,-8.836874391729683
-6.875705785714286,-7.233782067524337
-7.570192142857143,-7.869782298737024
-4.916706071428571,-4.986148359152193
-4.736002428571429,-4.8485820460292635
-9.559167857142857,-9.385778666973536
-6.788908928571429,-6.849473243571299
-8.256383571428572,-8.245060783402032
-9.347032857142858,-9.427317363926827
-5.937811071428571,-5.940397163061191
-6.568623714285714,-6.739012099240527
-6.436057785714286,-6.401166086510884
-9.837848571428571,-9.48246449128564
-7.807168571428571,-8.00887312211173
-8.222133571428571,-7.75773599063906
-4.751830214285714,-4.8273971078642575
-5.354977357142857,-5.452977427374394
-6.337640142857143,-6.483930659993337
-6.192708357142857,-6.397077946693603
-9.234970714285714,-9.272744153334965
-7.702552857142857,-7.66847394810533
-7.728129285714286,-7.660249648387404
-6.914618642857143,-6.9261099989066865
-9.803966428571428,-9.956780076019838
-6.478824785714286,-6.4363102077867085
-6.897354857142857,-7.071497950659589
-5.172998785714285,-5.004312603384013
-7.717719285714286,-7.635071926008187
-3.702576,-3.8992975100058094
-8.532205714285714,-8.338476439080688
-8.826537857142856,-8.56168723825968
-5.591260642857143,-5.15415825971681
-7.889977142857143,-8.189864028571769
-6.518025142857143,-6.677822545368359
-8.534735714285715,-8.239877056696958
-7.743841428571429,-7.7198075628940845
-6.984632571428572,-7.0618799359129705
-6.209078928571429,-6.188791854252015
-5.301963785714285,-5.265579606661197
-7.009762214285715,-7.039730268863995
-5.8518685,-6.029688001441467
-4.471649571428571,-4.532060565564389
-7.100965142857143,-6.867887413413352
-4.529358642857143,-4.649617753820616
-5.028700142857143,-5.078613093077928
-8.20835857142857,-7.88100926753447
-9.16612857142857,-9.114633829289088
-7.552018571428571,-7.634498412964282
-4.934618571428572,-4.918323038156632
-6.001613857142857,-5.962074005365431
-5.332859,-5.807839219231572
-8.045308571428572,-8.054115136841288
-6.533178285714285,-6.4928351856984685
-7.055407857142858,-7.030052272741088
-5.287121928571429,-5.377816004619628
-4.909451714285715,-5.079856972593938
-6.257752357142857,-6.286353346038193
-6.401111214285714,-6.664462015367907
-6.308384571428571,-6.310059850233429
-8.544940714285714,-8.405194490530654
-7.982527142857143,-8.010468745738558
-6.578756357142857,-6.8327533028870935
-8.59198,-8.375249226018951
-6.697515428571428,-6.925674843867787
-7.866369285714286,-8.007155016297364
-9.89848642857143,-9.78262246852332
-8.804405,-8.736985018702182
-6.640144214285714,-6.703694562475154
-7.804475714285714,-7.644728146310269
-7.107493785714285,-7.3195069478841575
-5.399914428571429,-5.468648300857118
-6.683691071428571,-6.7272708464467605
-9.638400714285714,-9.539137354673048
-4.7731995,-4.868750637728801
-4.098038642857142,-4.3480990011593
-7.137043214285714,-7.203496966988723
-7.764655714285714,-7.857631749443848
-7.98619,-7.9251870028268465
-5.260667214285715,-5.186281209808062
-7.081435214285714,-7.341735416220549
-7.849142142857143,-7.732857852954251
-5.293800285714285,-5.254707327630123
-4.621927428571429,-4.6254339837934175
-8.111602142857143,-7.9094435606956575
-4.664610714285715,-4.736959937571357
-9.126832142857143,-9.012100635848029
-6.695459857142858,-6.696707367029057
-5.703431928571428,-6.172021766519975
-10.05805714285714,-9.775024691445958
-5.822050928571429,-5.9971291424885464
-8.411073571428572,-8.32252501261805
-6.141172142857143,-6.151124211830938
-5.179222,-5.093458648723429
-5.961264642857143,-5.995583956560127
-9.546117142857142,-9.231529856877675
-8.660895,-8.35622377947766
-6.385234214285715,-6.293482047843107
-4.634378928571429,-4.60433734681796
-7.100670142857142,-6.839776489695291
-8.1369,-8.284725831121081
-6.225813071428571,-6.486500636314299
-5.500666357142856,-5.4472369007951364
-7.329026428571429,-6.992959391742609
-6.462422428571428,-6.358390159932553
-7.691704285714286,-7.816108476066549
-6.595776714285714,-6.617501325444877
-8.722962857142857,-8.536443432316897
-5.873426357142857,-6.022168781505486
-9.18184642857143,-9.167735199219425
-6.103684428571428,-6.3974416882640135
-8.015975714285714,-8.042949327578398
-3.850371071428571,-4.040564707197273
-6.308240214285715,-6.047284430380035
-6.754109714285714,-6.672080894594085
-7.369935714285715,-7.350118668051705
-7.61938,-7.5667449825951785
-6.442259357142857,-6.817410810019384
-8.034672857142857,-7.9760456256666235
-8.529895,-8.356258181246204
-6.397299214285715,-6.210944165246939
-4.510056285714286,-4.646031852526144
-5.463192142857143,-5.658689999646352
-5.209995142857143,-5.365191415647838
-9.350002857142856,-9.478118357413319
-8.468338571428571,-8.377005626344488
-8.468942142857143,-8.026596130605387
-5.133016571428572,-5.179597401171897
-6.624999928571428,-6.345152169449045
-6.169210285714286,-6.305010432622316
-8.215552142857144,-7.468701622590215
-4.565190714285714,-4.773464798351674
-7.521755,-7.446830206174141
-5.906663571428572,-6.442028139739501
-5.066227571428572,-4.989654777678746
-7.489876428571429,-7.605295982009828
-4.323567571428572,-4.480527319096885
-3.639086357142857,-3.7422387647363173
-5.5530405,-5.466929907116707
-8.651897857142858,-8.698452356908708
-8.026038571428572,-8.058851660831106
-6.487523428571428,-6.426649604106785
-5.310022642857143,-5.275892646172811
-7.856360714285715,-7.7589065491832265
-5.226586142857143,-5.3842824894152
-6.395856785714286,-6.521746006877384
-8.609967857142857,-8.421012661876192
-3.059842785714285,-3.1051773734693873
-4.177531071428572,-4.164971024649505
-5.279632571428571,-5.675401960079786
-8.907578571428571,-8.871881356592441
-7.197967857142857,-7.3251668564990755
-7.971761428571428,-8.02302999849865
-9.108202142857143,-8.892230320584797
-9.610727857142857,-8.764513647514764
-5.792306857142857,-5.823352582122188
-7.413077857142857,-7.267848683147222
-7.950657857142857,-7.7853308683505995
-9.264467857142858,-9.203289942984993
-7.190542142857143,-7.512955075027245
-7.084553928571429,-7.1727332717677195
-5.0981215,-5.3776415695891115
-9.914328571428571,-9.721703067726269
-8.410879285714286,-8.172285347832172
-8.289792142857143,-7.906981365799164
-7.031014785714286,-7.095524589006708
-6.467278285714285,-6.690768467607633
-7.818996428571429,-7.542755695017469
-8.54406,-8.067382617172724
-6.233327,-6.49886469849983
-7.296758571428571,-7.4120981793536105
-8.368724285714285,-8.413071322183013
-4.755984499999999,-4.847344860383649
-7.205467142857144,-7.543133686805167
-9.362435000000001,-9.25843982753935
-5.189929214285714,-5.266051454889908
-4.929216071428571,-4.840705291413964
-8.283865,-8.270735701294475
-5.655994142857144,-5.683395741969806
-5.557372785714286,-5.805231375853174
-7.970032142857143,-7.900689923441465
-6.986293785714286,-6.934683171942367
-7.741517857142857,-7.721177627612337
-7.325657857142857,-7.518904092938346
-8.780923571428572,-8.713015447244905
-7.092065642857143,-7.318957312357315
-8.277714999999999,-8.207625473219398
-6.530870999999999,-6.830022200072773
-5.189886928571428,-5.221017082328745
-6.537642214285714,-6.500734983053181
-6.149848285714286,-6.235876144559415
-5.8812495,-5.802981062447505
-7.171742142857143,-7.266960749870033
-8.557806428571428,-8.270809969886878
-6.831060428571428,-6.922007340579519
-5.867359142857143,-5.861463550533434
-6.626788285714285,-6.724924583497688
-8.063059285714285,-8.279643059508011
-6.479492714285714,-6.690522946533806
-8.767580714285714,-8.380408955354035
-7.248822142857143,-7.243359119638681
-4.796410785714285,-4.995342045085271
-7.941806428571428,-7.873026953375448
-8.545992857142858,-8.264648254082099
-8.179261428571428,-8.158236359923542
-7.707343571428572,-7.744050642079722
-6.892537857142857,-6.86661687166859
-8.60947,-8.3762590373897
-7.041663928571429,-7.056518207491045
-8.581272142857143,-8.559612050718272
-6.556504857142857,-6.6368518514008095
-6.591250357142857,-6.603857833347423
-7.946363571428571,-7.891318589637002
-8.55013142857143,-8.377100096046233
-8.768739285714286,-8.828204817320696
-7.539411428571428,-7.621183525768198
-4.587807928571428,-4.811995839444413
-6.157056142857143,-6.350781352418555
-9.653113571428571,-9.72540900412489
-6.422740928571429,-6.648722448771599
-7.547505,-7.506190014262082
-6.550703357142857,-6.663417722593347
-6.928362785714286,-6.609477500755615
-6.170258785714286,-6.365602701675478
-5.492824428571429,-5.654288674813028
-6.826268428571429,-6.835426036225116
-4.679609928571429,-4.724066449200555
-6.420122642857143,-6.479400515929659
-5.703937357142857,-5.706778204125825
-8.449265,-8.182365972954257
-8.187968571428572,-8.381037554606227
-6.323585142857143,-6.361228064272146
-6.886457285714286,-7.134240634728454
-7.659208571428572,-7.615782820583214
-9.057212142857143,-8.92504534751656
-8.004335,-7.81168391969595
-5.699890928571429,-5.895619857121633
-6.199176928571428,-6.422396113319155
-9.443100714285714,-9.30190059127764
-8.179293571428571,-8.352389749825884
-5.561413642857143,-5.664476149549538
-7.298664285714286,-6.970200232320774
-8.944807142857142,-8.62113609714469
-7.687489999999999,-7.555150422152425
-5.775940357142857,-5.685896291847934
-7.532750714285714,-7.539965928919461
-6.295456785714285,-6.196033673033927
-8.1126,-7.983211563300766
-9.10756857142857,-8.803889147104751
-6.807828285714286,-6.741234194677338
-6.486710642857142,-6.762443249970249
-8.949102857142858,-9.041525084790274
-8.97674857142857,-8.934065353171032
-8.379590714285714,-8.302836679857226
-9.215105,-8.996290492337957
-6.081910857142858,-6.258120641045126
-4.849237428571429,-4.873873462730557
-7.522572142857143,-7.464985714262007
-6.410911714285715,-6.382496339209722
-7.160469999999999,-7.629985902780126
-6.716454571428572,-6.599905997380669
-8.813642142857143,-8.276219981139146
-6.846400428571428,-7.3198351507783785
-5.279786214285714,-5.544924252656563
-5.773971214285715,-5.834701743448913
-6.512764428571429,-6.6738518281973365
-6.027343571428572,-6.153702953539097
-7.019314428571429,-7.594705627580382
-5.466604928571429,-5.723264814724623
-7.946212857142856,-7.798361243985635
-8.278331428571429,-8.060539346436515
-5.467824142857142,-5.460785127826118
-7.348957857142857,-7.376499466155333
-7.160752142857143,-6.84477469059424
-5.664745714285714,-5.738350912976702
-7.985935714285715,-7.831239868599175
-5.465828785714286,-5.425264401951987
-7.903668571428571,-8.097205030376214
-7.916783571428572,-7.933805045184601
-8.06114,-8.05645056270459
-6.152043428571429,-6.283036090977596
-5.308803928571429,-5.4962476231087525
-6.300531642857143,-6.170844498918451
-7.548553571428571,-7.698999796294676
-8.549105,-8.519642645255727
-6.122474142857143,-6.143568075578007
-7.688755,-7.2686083988376655
-8.315587857142857,-8.120556009590423
-7.999747142857143,-7.993245533154932
-5.312727285714286,-5.4275824254398275
-3.914768857142857,-3.9613140535922162
-7.562258571428571,-7.447576971396292
-5.904789642857144,-6.059233649984857
-9.783194285714286,-9.512785651685592
-5.274232571428572,-5.337576859580006
-7.075648071428572,-7.1785761464740006
-5.799401428571429,-5.952122680352519
-6.200340428571429,-6.21207124507326
-5.533347357142858,-5.3626177428413495
-7.386605,-7.327886493048319
-6.3640865,-6.3817168058438245
-9.985042142857143,-9.668848246532113
-8.697607857142858,-8.662635717162775
-9.218100714285715,-8.857473090499173
-7.580197142857143,-7.273430427955354
-5.718440857142857,-5.881853705508396
-3.120161857142857,-3.1427633369727874
-8.108384285714285,-8.071816686503926
-6.649706357142857,-6.746942297733183
-7.219713571428572,-7.266429026485185
-7.557567857142857,-7.282428098759267
-8.517670714285714,-8.57709129603498
-9.070244285714285,-8.662637004816066
-5.738233642857144,-5.784347931594598
-7.885186428571429,-8.059194914080491
-4.985606714285715,-5.135045084646795
-4.979041071428571,-5.168822486891453
-8.980684285714286,-8.824068632219204
-6.960990785714286,-7.055492124037032
-9.880379285714286,-9.660320067560471
