feature,importance
B23,0.6094944487617532
B48,0.12328540584594226
B55,0.048457606860790516
A48,0.024673341654915037
B6,0.015110892022510208
A45,0.012608063852881282
A46,0.010426099964287894
B49,0.009704754193353595
B17,0.009427744566894611
A23,0.009185887691714816
B9,0.005858091894008169
B45,0.005412539589373689
B42,0.004991556655364628
A55,0.004901348753947829
B46,0.004554800161591629
A40,0.0043204248797598455
A47,0.004133549315086626
A9,0.003917601486970046
B21,0.003745676813707324
A50,0.0034440698896032094
A49,0.0033949328859626286
A11,0.003246428001587669
B4,0.0029952147097314316
B50,0.002526310594133867
B11,0.0024516609249117353
A6,0.0024283750015295764
B12,0.002338450245090724
A4,0.0023096622638862922
B28,0.00196346049607341
B18,0.001785416825000561
A1,0.0016726177927605503
A7,0.0016580713081513325
B13,0.0016356116494337849
B29,0.0015965579547203865
B53,0.0015920775829510831
B47,0.0015448519269267084
B7,0.0015387533789258333
B40,0.0014794256780981847
B1,0.0014789848741266962
B41,0.0014666029915117495
B10,0.0013481130779696474
A44,0.0013273746222763638
B44,0.0013114700988302787
A18,0.001280783451052717
B36,0.0012673934275442315
A15,0.001173677841096832
B19,0.0011629215355385151
A28,0.0011203676202277372
B15,0.0010302469365905983
B27,0.0009476980689331451
B5,0.0009476240448206136
A27,0.0008944154001569597
A3,0.0008831715888341993
A17,0.0008532675582104822
A19,0.0008120752215112272
A10,0.0008002684144678104
A53,0.0007732449445928866
A12,0.0007452690687897055
B2,0.0007435272374306252
B24,0.0007401318366163652
A51,0.0007299511618770047
A13,0.0007099095308860299
A21,0.0006872528254896661
B3,0.0006512346741738881
B14,0.0006456576481195014
B54,0.0006283936662859481
B51,0.0006137122913402508
A42,0.000595936800393059
B25,0.0005878633288800395
B20,0.0005805912914209809
A36,0.0005745669202358902
B37,0.0005541338046812243
A5,0.0005082101369800727
A29,0.0004922472113530388
A22,0.0004917124530206204
B35,0.0004914235908448381
A37,0.00048167240906904843
B16,0.00047720675226069724
B22,0.0004610298073186097
B33,0.00045104005131490566
A8,0.00042545212471440253
B39,0.00041416098461151743
A31,0.000408769933296821
A14,0.0004086053512506547
B8,0.0003997186971453277
B26,0.00039917173891545365
B31,0.00038373226062152785
A41,0.00038336473423991575
A25,0.0003799188496323612
B43,0.00037782199968315296
A52,0.00037677325511502926
B32,0.0003700754849167492
A16,0.0003656691164051134
B52,0.00035407626621076674
A39,0.00034388602278953334
B34,0.00033298445843908404
A2,0.00032573593256603976
A30,0.00032507067829180337
A35,0.00029342326645269336
A26,0.0002903912833291867
A32,0.0002826146120293698
A54,0.00027596681294488144
A24,0.00026122735975178836
A33,0.0002564112375918908
A20,0.00025141642354186376
B30,0.00023578862364128367
A43,0.000233524929203028
A34,0.0001795444964663246
B38,0.00017484455077584993
A38,0.00015569822401943924
