feature,importance
B47,7.658130499585502e-05
A47,6.027262963547391e-05
B19,0.41404790679989867
B9,0.151229222630679
A9,0.04666158929524885
B43,0.04230659342362003
B22,0.042127601452437546
A19,0.0325147038307379
B14,0.028247616784568996
B11,0.016078590388716042
B44,0.01284664831081971
A16,0.011601015897403338
B1,0.01020672522221458
A18,0.009494600254410627
A36,0.008750604469321088
B3,0.006185844085831953
A43,0.005323080827345595
A8,0.004896482237592728
A10,0.0047367690911440784
B8,0.004522546640358252
A5,0.004262617671635311
A28,0.004230547877419373
A35,0.004210492128182361
A23,0.003694052111228662
B15,0.0035955818286274492
A42,0.0035201055080198488
B35,0.0035003500810240748
B16,0.003468256870223583
B54,0.0033794636589909734
B50,0.00337507033939447
A29,0.003350379835954542
A7,0.0032886970202362495
B20,0.00327962923645665
B24,0.0032740640662533693
B28,0.0030815663293038095
B4,0.002903745107724033
A22,0.002838848278995521
A20,0.0027788077324351563
B33,0.0027210723696467786
B23,0.0026829523091583293
B36,0.0025353697567564583
B31,0.0025159673239524252
A1,0.0024340309208257405
A45,0.0021939583230859497
B45,0.002145546325330275
A44,0.0021227800908937104
B2,0.0020860958248136055
B17,0.0020695933965746284
B37,0.0020675095166026993
B10,0.002015837309329143
A31,0.0020056563430090736
B7,0.0019623078972886383
A39,0.0019446029157151195
A11,0.001914648862002161
A14,0.0017585017699920508
A3,0.0017124043567784241
B38,0.0017068622983449605
B48,0.0016899219997261804
B29,0.0016606482612325027
A15,0.001572749799622026
A37,0.0015588768059932587
B5,0.0015419354239772636
B6,0.0014746818881821524
B21,0.001417196037277658
A46,0.0013496082855165327
B39,0.0013424036862722311
A41,0.0013315870311309947
A49,0.0013180222457185565
B46,0.00130341795464359
B32,0.0012889537319823563
A50,0.001285142562488167
A2,0.0012829686829063732
B34,0.0012578950143362442
B53,0.0012428350959681259
A53,0.0011376618345739172
B40,0.0011076990327300803
A40,0.0010835087761864894
B42,0.0010365142767323656
A13,0.0009796662459007417
B30,0.000888214543359666
A30,0.0008583534501740434
B41,0.0008579283867349066
B49,0.0008021929892286609
A21,0.0007786928186593523
A24,0.0007712931401805312
A38,0.0007109799866592565
B13,0.0006852686126190125
B18,0.0006724026576336449
A54,0.0006311257016956255
A55,0.0006305089751668708
B55,0.0006277121953674759
A4,0.000606052102033265
A32,0.0006004555165846166
A34,0.0005934653235305473
A17,0.0005927139506117793
A51,0.0005290497187727947
A33,0.0004864070892464426
B27,0.0004765017967248274
A27,0.00040161271958529633
B26,0.00037176238481070585
B51,0.00036630509338354453
A6,0.0003272243856872865
B12,0.00030379318586427103
A26,0.0003006304493265858
B25,0.0002983429529796828
A12,0.0002881165702243151
A25,0.00023468357008846305
A48,0.00023251623548548871
B52,0.00015274176332513256
A52,0.00011608789197236609
