feature,importance
B18,0.5760040486676481
B14,0.13748427354395754
B43,0.037288010463918914
A42,0.03545305991706409
A14,0.03332369423132914
B16,0.013153867045104429
A37,0.011466963145357717
B19,0.00990165289912669
A7,0.008544962175668434
B54,0.008445941192552238
B8,0.007533095989564329
A18,0.007514507128560983
B7,0.006332692625890828
B36,0.006308244915987347
A10,0.005454262680937703
A43,0.004545172268669692
B17,0.004256540055513132
B9,0.004225617933655711
B5,0.003949926228842849
B28,0.0037695574570858308
B29,0.003366151927585405
A54,0.003288782431407658
B24,0.003226892268017919
A36,0.002748550521786015
B10,0.0026090559288463764
B15,0.0025265830988981486
B21,0.002249948142188124
B13,0.002229220095410083
B20,0.0022163070343126636
B42,0.0019921485576584385
A8,0.0019116681875321272
A29,0.0018341384377744488
B22,0.001580824668084494
A5,0.0015505115387148775
A39,0.0014337592820645672
A21,0.0012936755411794931
B27,0.001266277511410826
A9,0.0012293845464489736
A28,0.0012098862704559984
A2,0.00117732515915248
A13,0.0010858672515483819
B11,0.0010096886831609281
B12,0.0009631327790923582
B2,0.0009326966476182644
B6,0.0009213016254579789
A24,0.0008872809807153245
B48,0.0008864089847718497
B49,0.0008853970058826714
B41,0.0008456795402679179
A49,0.000817117998751691
A19,0.0008025248908763308
B25,0.0008013802216839069
A47,0.0007957909095183428
A16,0.0006872210465867113
A15,0.0006705899957555932
B37,0.0006680277007966251
B50,0.0006550708048656496
A35,0.0006550052909617971
B51,0.0006404443450844903
B47,0.000634088552566552
B40,0.0006051978548407857
A55,0.0005937581628744059
A22,0.0005883036163821538
B44,0.0005701633646535498
A6,0.0005539510788365908
B55,0.0005428843320077586
B52,0.000540368710003908
A44,0.0005182877941308926
A50,0.0004891672239093611
B45,0.00048267026027060567
A11,0.00047525778745104044
B26,0.00046815526661170525
A4,0.00045124932251922436
A20,0.0004498525799897087
A17,0.00044736870360809227
B23,0.00041852820641384613
A31,0.00041135277239696884
A27,0.00039809510444888395
A51,0.0003975454283339193
A53,0.0003958183091058822
A38,0.0003945051778512899
A1,0.00039195103726697523
A30,0.00038095117612215617
A33,0.00037866520797832237
B1,0.00037622655209500324
B53,0.00036039040141311145
B31,0.0003580655229623775
A40,0.00035443707447657425
B46,0.00034324398106007104
A12,0.0003364244875514593
B30,0.0003344793460412724
A32,0.00030018847153707334
A23,0.00029838302819904823
A45,0.0002883317786483109
A25,0.00028767162863948745
A52,0.00027767853401526225
A41,0.00025414256559119227
B3,0.00024894179275391533
B4,0.00024794103593351555
A46,0.00021484989689427548
B32,0.00021408200445040891
A26,0.00020663174425535885
A48,0.00020387957588235484
B35,0.00017815778815557116
B33,0.0001747535840714576
B38,0.00014416110333127655
A34,0.00014401258638470688
B39,0.00013616571971005037
B34,0.00011704520222392642
A3,0.00011376914438667304
