feature,importance
C47,2.730781784106091e-05
E9,0.28588709172601623
E19,0.12387745749516851
E43,0.10111300244182037
E5,0.09357541771486595
E36,0.040945313418757324
E31,0.025396424190541358
E28,0.024313521477495104
E2,0.023436465938299778
E18,0.022790220321099255
E20,0.01656776204817274
E42,0.01257242842022284
C42,0.012053145319058314
E16,0.011598801896323053
E24,0.009915528026744506
C16,0.009507733746270463
E14,0.009402694971158644
E11,0.008222585242669772
E8,0.00684193819789348
C54,0.006606449123880566
E15,0.006417258075003591
C5,0.005954933783195265
C24,0.005515122410855865
C18,0.005329409283893478
C43,0.005091390285683655
C9,0.004840077081731672
C36,0.00464078199612372
E54,0.004583101772377682
C19,0.004333041212961658
C14,0.004017929625913049
E55,0.003930304572901146
E22,0.0037870771889898123
C55,0.003784699781297683
C10,0.00368856924688695
E10,0.003387652797888208
C31,0.0032923512633366444
E13,0.0032516121601049866
C29,0.0032245784959601858
C20,0.003162078679659903
C50,0.002801935320410579
E23,0.002772240425355822
C28,0.002759237885699975
C8,0.0025420671615769166
C51,0.0023985428914596687
E37,0.002333531919510674
E50,0.0023327632024813215
E21,0.00206449775513386
E17,0.002023400228973189
C22,0.0019689695691274076
E51,0.0018574511950463248
E40,0.0018065519002850598
C37,0.0017941388506141096
E33,0.001715828984854401
C13,0.0017045299794507768
E7,0.001701785575566173
E12,0.001584293108159409
C49,0.0013623034197015299
C35,0.0013003702907169103
C17,0.0012881019208092555
E4,0.0012876857755841535
C15,0.001283854953646774
C7,0.0012407312040710245
E29,0.001222959089711462
C11,0.0011987402424925408
C34,0.0011076188738521123
C2,0.0010917707923892136
C53,0.0010745541479059986
E53,0.0010742441976363053
C21,0.0010730758050587542
C23,0.001065246166845612
E30,0.001024966978029357
E32,0.0009983756580763904
E39,0.000995114681162795
E41,0.0008765738541267585
E34,0.0008630019696160722
E35,0.0008062492510445302
C33,0.0007716264609273877
E49,0.0007620347749705725
C38,0.000742409739670209
C40,0.0007055318744270952
C39,0.0006647569458704866
E1,0.0006532425865977124
C30,0.0006439103449602433
C32,0.0006125268350691624
C12,0.0005854396387870946
C1,0.0005387383908397014
E46,0.0005060477284252369
E6,0.0005041967774104306
C41,0.0004520524053513194
E26,0.00044894455547814325
E45,0.00044188860995636366
E52,0.00043873455298173254
E38,0.00040860021886098734
E27,0.0004033290562547865
C6,0.00040224251537509365
E44,0.0004013730122228045
E25,0.0003797338867269523
E48,0.00037963328617178797
C48,0.0003596368268939469
C27,0.00034034668336159165
E3,0.00029307369886604834
C25,0.0002628450587415761
C4,0.0002532628038489978
C26,0.0002339165768071859
C45,0.00022222359897971567
C46,0.00021417148122503587
E47,0.0002130542169354667
C44,0.00019456391584877006
C3,0.00017486978399013634
C52,0.00011047668191849697
