y_train,y_train_pred
-6.295456785714285,-6.308384497638716
-6.336209285714285,-6.323880824092528
-6.195125,-6.2078808386850195
-7.810355714285715,-7.722662247072906
-7.756433571428571,-7.743860696017204
-9.417712857142858,-9.883561649133178
-9.046177857142856,-9.028750272034706
-7.504238571428572,-7.517022848895172
-8.049595714285713,-7.951125988682326
-8.697607857142858,-8.685867961775745
-9.126832142857143,-9.105130255693798
-7.532550714285714,-7.538548726556721
-6.979431,-6.970399044829951
-7.922662142857143,-7.935329800736029
-7.883404285714286,-7.839076983513588
-5.513115857142857,-5.525778572802322
-4.870716642857142,-4.858244812400358
-4.436559,-4.42359679463017
-7.408777142857143,-7.396338101810763
-7.610564285714285,-7.601358821861619
-4.417798785714285,-4.4048484109709065
-4.082399285714286,-4.071863155965159
-6.667605285714286,-6.680040316748645
-9.18184642857143,-9.192831816076993
-8.088617142857142,-8.134424103876393
-8.156427142857144,-8.143789621040302
-7.258575714285714,-7.271075125496843
-5.584681357142857,-5.5973502700229645
-7.239815714285714,-7.252484014618649
-5.675408142857143,-5.662800877708422
-6.491755785714285,-6.509452993200679
-5.365534857142856,-5.378396811957135
-8.261677142857144,-8.27942883678712
-5.664745714285714,-5.652250866740075
-8.976516428571427,-8.989036129205552
-7.873176428571428,-7.860818087612771
-7.68425,-7.671558064094469
-8.948808571428572,-8.936226578382021
-6.980528142857144,-6.993022386769173
-5.868173285714286,-5.881028060441936
-6.568623714285714,-6.668387185168989
-8.220141428571429,-8.032805234819559
-5.697861785714286,-5.710651360486652
-8.232382142857142,-8.223539387737468
-7.532755,-7.545549552955171
-7.177477142857143,-7.162620044818484
-4.005267714285714,-3.992690026716607
-7.090850142857143,-7.103288401116396
-8.66983,-8.657295693767095
-6.161200428571428,-6.1740967271810305
-6.569345857142857,-6.5819362476383025
-7.442216428571428,-7.442684139950235
-7.320306428571429,-7.333209755678233
-6.180313285714286,-6.167780170144587
-6.240415285714286,-6.253058900899967
-8.402517857142858,-8.415011898344748
-4.334903357142857,-4.322368656694617
-4.587807928571428,-4.596171345166576
-4.335807785714286,-4.348053894727759
-6.914618642857143,-6.927401367375303
-8.008092857142858,-8.047464095199116
-7.897314285714286,-7.884980252665387
-5.541103714285714,-5.712747611080392
-7.429532142857143,-7.416850826937537
