feature,importance
CE14,0.3812594142429539
CE18,0.26396033189683865
CE43,0.10406032092134138
CE54,0.05919666562565776
CE7,0.02240773056664869
CE29,0.015731704756210673
CE36,0.015633426910145527
CE42,0.01191972217840091
CE10,0.011685882258101347
CE19,0.010002220118164366
CE2,0.009190486276668096
CE28,0.008322712818858066
CE12,0.005700044742217799
CE24,0.005213233031943966
CE8,0.00498760778271936
CE5,0.00431377691234176
CE9,0.003807531429256744
CE21,0.003510086395559077
CE22,0.0032391261119571147
CE13,0.0030268155504072757
CE17,0.0029426204367290058
CE52,0.0027992345139146876
CE55,0.0025291230601059943
CE53,0.0024383481484598376
CE27,0.0024171975445504445
CE50,0.002402629403341384
CE20,0.0022506447772534252
CE16,0.0022341504000063443
CE47,0.002089650350731137
CE15,0.001907027051875794
CE49,0.0018793053830412115
CE51,0.0018685875965563697
CE23,0.001865779400017165
CE40,0.0016798126426930723
CE1,0.001641774043241042
CE35,0.0015776956925091332
CE37,0.0014147717648271693
CE31,0.0014135459590240628
CE11,0.0013397140453466298
CE48,0.0013010916264090716
CE33,0.0012549828151279061
CE6,0.0012203819229477128
CE45,0.001213439492195344
CE41,0.0011629163359671575
CE34,0.0011611612168039914
CE46,0.0011181253210752206
CE26,0.001001168903099086
CE4,0.000819058551196904
CE25,0.0007864088413373146
CE39,0.0007419493320886643
CE44,0.0006901080699237071
CE30,0.0005192015064183871
CE3,0.00045758115981061736
CE38,0.00036338606753882967
CE32,0.00032858609744383654
