loop,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,mae_error,mae_error_index
rbf_loop,rbf_train_r2,rbf_test_r2,rbf_train_rmse,rbf_test_rmse,rbf_train_mae,rbf_test_mae,rbf_mae_error,rbf_mae_error_index
7.0,0.9981234606649317,0.9913630496672204,0.036756579279955987,0.07996125327806723,0.009154880017622023,0.05335082686224109,3.096510140502412e-05,1.0
21.0,0.9981493699536247,0.9910945650597681,0.036809085650796776,0.0784573170630916,0.009161098670392213,0.05342821445136201,4.642248771589974e-05,2.0
22.0,0.998261846011381,0.9914711881244506,0.03540646624681401,0.0791549350267145,0.009075229739347036,0.05345193006913355,7.01381054874356e-05,3.0
19.0,0.9980661777502543,0.991542248170605,0.03756912252754559,0.07693227330625257,0.009212901748288677,0.05361056780692899,0.0002287758432828746,4.0
11.0,0.9980734429515863,0.9917876432967134,0.037444276874147336,0.07632317195975905,0.009246488370049382,0.053077969746493175,0.0003038222171529367,5.0
3.0,0.9983831886442444,0.9904159997549986,0.034162021913863756,0.08381961302923488,0.008782820120466753,0.05307374158369426,0.0003080503799518519,6.0
8.0,0.9983242819932584,0.9908892395024994,0.03478628225283435,0.08165837130189484,0.009258010108520141,0.053746655153710236,0.00036486319006412415,7.0
6.0,0.9981623377386385,0.9913817050524324,0.03612872339716181,0.08193423697879015,0.008979765222809764,0.05300726178536245,0.00037453017828366353,8.0
23.0,0.9980003340017589,0.9922242422017946,0.03799098406792589,0.0755049548320649,0.009560346961527614,0.05295444130011491,0.00042735066353120216,9.0
4.0,0.9981354869707486,0.9911243323286497,0.036881701748326653,0.07888584115913459,0.00914799385822197,0.052939389689463115,0.0004424022741829972,10.0
24.0,0.9981415563830678,0.991143109127886,0.03677970288862055,0.07923805357496652,0.009378719706581532,0.05402990157832628,0.0006481096146801688,11.0
16.0,0.9981844021331099,0.9913065266180137,0.03638642951954716,0.07820435373189198,0.009331625636667824,0.052620163661080285,0.0007616283025658269,12.0
5.0,0.9980614423696538,0.9905041779957883,0.03760692670217938,0.08153025971897687,0.009056706783159382,0.054376549518641265,0.000994757554995153,13.0
2.0,0.9981704724030115,0.9912019116019912,0.03641861182438751,0.07962754259600964,0.008934399191153086,0.052345453485845676,0.0010363384778004359,14.0
15.0,0.9982324113396124,0.991762488612489,0.03588425869033966,0.07624283622345189,0.008880409435177473,0.05233293867763831,0.0010488532860078031,15.0
17.0,0.9982443373072222,0.9912301642771093,0.035771212740808446,0.07858244515031715,0.00934592848486706,0.05224680169533092,0.001134990268315192,16.0
13.0,0.9985029956364097,0.9897401854931918,0.03300082279177352,0.08536987855568104,0.008713637662650495,0.054591281160593946,0.0012094891969478341,17.0
18.0,0.9980225092626982,0.9919797212405194,0.03764715265225515,0.07770616539626404,0.009421984018182433,0.051876862960508544,0.0015049290031375687,18.0
